Breed,Bred,BW,ADG,DMI,TDN,NEm,NEG,ME,RDP,RUP,CPa,Ca,P
N/a,N/a,lbs,lb/d,lb/d,%,Mcal/d,Mcal/d,Mcal/d,%,%,%,% of DM,% of DM
small,non bred,220.5,0.7,6.62,56.5,2.64,0.47,6,8.6,3.7,12.4,0.467,0.233
small,non bred,220.5,0.9,6.62,58.6,2.64,0.64,6.4,9,4.7,13.7,0.600,0.267
small,non bred,220.5,1.1,6.84,60.7,2.64,0.82,6.7,9.3,5.7,15,0.677,0.323
small,non bred,220.5,1.3,6.84,62.9,2.64,1,7,9.6,6.7,16.3,0.806,0.355
small,non bred,220.5,1.5,6.84,65.2,2.64,1.19,7.3,10,7.7,17.7,0.903,0.387
small,non bred,220.5,1.8,6.84,67.7,2.64,1.37,7.6,10.4,8.7,19,1.000,0.419
small,non bred,330.75,0.7,8.82,56.5,3.57,0.63,8.2,8.6,2.4,11,0.375,0.200
small,non bred,330.75,0.9,9.04,58.6,3.57,0.87,8.7,9,3,12,0.463,0.244
small,non bred,330.75,1.1,9.04,60.7,3.57,1.11,9.1,9.3,3.7,12.9,0.537,0.268
small,non bred,330.75,1.3,9.26,62.9,3.57,1.36,9.5,9.6,4.3,13.9,0.595,0.286
small,non bred,330.75,1.5,9.26,65.3,3.57,1.61,9.9,10,4.9,14.9,0.667,0.310
small,non bred,330.75,1.8,9.26,67.7,3.57,1.86,10.3,10.4,5.5,15.9,0.738,0.333
small,non bred,441,0.7,11.03,56.5,4.44,0.79,10.2,8.6,1.6,10.3,0.340,0.200
small,non bred,441,0.9,11.25,58.6,4.44,1.08,10.7,9,2.1,11.1,0.392,0.216
small,non bred,441,1.1,11.25,60.7,4.44,1.38,11.3,9.3,2.6,11.8,0.451,0.235
small,non bred,441,1.3,11.47,62.9,4.44,1.68,11.8,9.6,3,12.6,0.500,0.250
small,non bred,441,1.5,11.47,65.3,4.44,1.99,12.3,10,3.4,13.4,0.558,0.269
small,non bred,441,1.8,11.47,67.7,4.44,2.31,12.8,10.4,3.9,14.2,0.615,0.288
small,non bred,551.25,0.7,13.01,56.5,5.24,0.93,12,8.6,1.2,9.8,0.322,0.186
small,non bred,551.25,0.9,13.23,58.6,5.24,1.28,12.7,9,1.5,10.5,0.350,0.200
small,non bred,551.25,1.1,13.45,60.7,5.24,1.63,13.4,9.3,1.9,11.1,0.393,0.213
small,non bred,551.25,1.3,13.45,62.9,5.24,1.99,14,9.6,2.2,11.8,0.443,0.230
small,non bred,551.25,1.5,13.67,65.3,5.24,2.36,14.6,10,2.5,12.5,0.484,0.242
small,non bred,551.25,1.8,13.67,67.7,5.24,2.73,15.2,10.4,2.8,13.2,0.516,0.258
small,non bred,661.5,0.7,14.77,56.5,6.01,1.07,13.8,8.6,0.9,9.5,0.299,0.179
small,non bred,661.5,0.9,15.21,58.6,6.01,1.46,14.6,9,1.1,10.1,0.333,0.188
small,non bred,661.5,1.1,15.44,60.7,6.01,1.87,15.3,9.3,1.4,10.7,0.371,0.200
small,non bred,661.5,1.3,15.44,62.9,6.01,2.28,16,9.6,1.7,11.3,0.400,0.214
small,non bred,661.5,1.5,15.66,65.3,6.01,2.7,16.7,10,1.9,11.9,0.437,0.225
small,non bred,661.5,1.8,15.66,67.7,6.01,3.13,17.4,10.4,2.1,12.5,0.479,0.239
small,bred,661.5,0.7,16.98,56.5,5.42,0.96,15.7,8.6,3.8,12.4,0.468,0.247
small,bred,661.5,0.9,16.98,58.6,5.42,1.32,16.4,9,4,13,0.506,0.260
small,bred,661.5,1.1,16.98,60.8,5.42,1.68,17,9.3,4.2,13.5,0.532,0.273
small,bred,661.5,1.3,16.98,63.1,5.42,2.06,17.7,9.7,4.5,14.1,0.571,0.286
small,bred,661.5,1.5,16.98,65.5,5.42,2.44,18.3,10,4.7,14.7,0.610,0.299
small,bred,661.5,1.8,16.98,68.1,5.42,2.82,18.9,10.4,5,15.4,0.636,0.312
small,bred,661.5,2.0,16.76,70.9,5.42,3.21,19.4,10.8,5.2,16.1,0.684,0.316
small,bred,771.75,0.7,18.96,56.2,6.18,1.1,17.5,8.6,3.3,11.9,0.442,0.233
small,bred,771.75,0.9,19.18,58.3,6.18,1.5,18.3,8.9,3.4,12.4,0.460,0.241
small,bred,771.75,1.1,19.18,60.5,6.18,1.92,19,9.3,3.6,12.9,0.494,0.253
small,bred,771.75,1.3,19.18,62.8,6.18,2.35,19.8,9.6,3.8,13.4,0.529,0.264
small,bred,771.75,1.5,19.18,65.3,6.18,2.78,20.4,10,4,14,0.552,0.276
small,bred,771.75,1.8,18.96,67.8,6.18,3.22,21.1,10.4,4.2,14.5,0.593,0.291
small,bred,771.75,2.0,18.74,70.6,6.18,3.66,21.8,10.8,4.3,15.1,0.624,0.294
small,bred,882,0.7,20.95,56,6.91,1.23,19.2,8.6,2.9,11.5,0.421,0.221
small,bred,882,0.9,21.17,58.1,6.91,1.68,20.1,8.9,3,11.9,0.438,0.229
small,bred,882,1.1,21.17,60.3,6.91,2.15,21,9.2,3.2,12.4,0.469,0.240
small,bred,882,1.3,21.17,62.6,6.91,2.62,21.8,9.6,3.3,12.9,0.490,0.250
small,bred,882,1.5,21.17,65,6.91,3.11,22.5,9.9,3.5,13.4,0.521,0.260
small,bred,882,1.8,20.95,67.6,6.91,3.6,23.3,10.3,3.6,13.9,0.547,0.274
small,bred,882,2.0,20.73,70.3,6.91,4.09,24,10.8,3.7,14.5,0.585,0.277
small,bred,992.25,0.7,22.93,55.8,7.62,1.35,20.9,8.5,2.6,11.2,0.394,0.212
small,bred,992.25,0.9,23.15,57.9,7.62,1.85,21.9,8.9,2.8,11.6,0.419,0.219
small,bred,992.25,1.1,23.15,60.1,7.62,2.37,22.8,9.2,2.9,12.1,0.438,0.229
small,bred,992.25,1.3,23.15,62.4,7.62,2.89,23.7,9.5,3,12.5,0.467,0.238
small,bred,992.25,1.5,23.15,64.8,7.62,3.42,24.5,9.9,3.1,13,0.486,0.248
