RotationName,RotationAbbr,CropName,CropAbbr,rasterLookup,rasterVals,Nrec
pasture seeding_ legume,ps_lg,pasture seeding_ legume,ps_lg,om,<2,30
pasture seeding_ legume,ps_lg,pasture seeding_ legume,ps_lg,om,2-9.9,10
pasture seeding_ legume,ps_lg,pasture seeding_ legume,ps_lg,om,10-20.0,0
pasture seeding_ legume,ps_lg,pasture seeding_ legume,ps_lg,om,>20,0
pasture seeding_ no legume,ps_nl,pasture seeding_ no legume,ps_nl,om,<2,40
pasture seeding_ no legume,ps_nl,pasture seeding_ no legume,ps_nl,om,2-9.9,20
pasture seeding_ no legume,ps_nl,pasture seeding_ no legume,ps_nl,om,10-20.0,0
pasture seeding_ no legume,ps_nl,pasture seeding_ no legume,ps_nl,om,>20,0
pasture_ rotational_ legume,pt_rt_lg,pasture_ rotational,pt_rt_lg,om,<2,0
pasture_ rotational_ legume,pt_rt_lg,pasture_ rotational,pt_rt_lg,om,2-9.9,0
pasture_ rotational_ legume,pt_rt_lg,pasture_ rotational,pt_rt_lg,om,10-20.0,0
pasture_ rotational_ legume,pt_rt_lg,pasture_ rotational,pt_rt_lg,om,>20,0
pasture_ rotational_ no legume,pt_rt_nl,pasture_ rotational,pt_rt_nl,om,<2,160
pasture_ rotational_ no legume,pt_rt_nl,pasture_ rotational,pt_rt_nl,om,2-9.9,130
pasture_ rotational_ no legume,pt_rt_nl,pasture_ rotational,pt_rt_nl,om,10-20.0,100
pasture_ rotational_ no legume,pt_rt_nl,pasture_ rotational,pt_rt_nl,om,>20,50
pasture_ cont_ high_ legume,pt_cn_hi_lg,pasture_ cont_ high,pt_cn_hi_lg,om,<2,0
pasture_ cont_ high_ legume,pt_cn_hi_lg,pasture_ cont_ high,pt_cn_hi_lg,om,2-9.9,0
pasture_ cont_ high_ legume,pt_cn_hi_lg,pasture_ cont_ high,pt_cn_hi_lg,om,10-20.0,0
pasture_ cont_ high_ legume,pt_cn_hi_lg,pasture_ cont_ high,pt_cn_hi_lg,om,>20,0
pasture_ cont_ high_ no legume,pt_cn_hi_nl,pasture_ cont_ high,pt_cn_hi_nl,om,<2,160
pasture_ cont_ high_ no legume,pt_cn_hi_nl,pasture_ cont_ high,pt_cn_hi_nl,om,2-9.9,130
pasture_ cont_ high_ no legume,pt_cn_hi_nl,pasture_ cont_ high,pt_cn_hi_nl,om,10-20.0,100
pasture_ cont_ high_ no legume,pt_cn_hi_nl,pasture_ cont_ high,pt_cn_hi_nl,om,>20,50
pasture_ cont_ low_ legume,pt_cn_lo_lg,pasture_ cont_ low,pt_cn_lo_lg,om,<2,0
pasture_ cont_ low_ legume,pt_cn_lo_lg,pasture_ cont_ low,pt_cn_lo_lg,om,2-9.9,0
pasture_ cont_ low_ legume,pt_cn_lo_lg,pasture_ cont_ low,pt_cn_lo_lg,om,10-20.0,0
pasture_ cont_ low_ legume,pt_cn_lo_lg,pasture_ cont_ low,pt_cn_lo_lg,om,>20,0
pasture_ cont_ low_ no legume,pt_cn_lo_nl,pasture_ cont_ low,pt_cn_lo_nl,om,<2,160
pasture_ cont_ low_ no legume,pt_cn_lo_nl,pasture_ cont_ low,pt_cn_lo_nl,om,2-9.9,130
pasture_ cont_ low_ no legume,pt_cn_lo_nl,pasture_ cont_ low,pt_cn_lo_nl,om,10-20.0,100
pasture_ cont_ low_ no legume,pt_cn_lo_nl,pasture_ cont_ low,pt_cn_lo_nl,om,>20,50
corn silage-soy-oats,cso,oats,ot,om,<2,60
corn silage-soy-oats,cso,oats,ot,om,2-9.9,40
corn silage-soy-oats,cso,oats,ot,om,10-20.0,20
corn silage-soy-oats,cso,oats,ot,om,>20,0
dairy rotation,dr,alfalfa seeding spring,as,om,<2,30
dairy rotation,dr,alfalfa seeding spring,as,om,2-9.9,0
dairy rotation,dr,alfalfa seeding spring,as,om,10-20.0,0
dairy rotation,dr,alfalfa seeding spring,as,om,>20,0
continuous corn,cc,corn grain,cn,nResponse,1,165
continuous corn,cc,corn grain,cn,nResponse,2,125
continuous corn,cc,corn grain,cn,nResponse,3,200
cash grain,cg,corn grain,cn,nResponse,1,120
cash grain,cg,corn grain,cn,nResponse,2,100
cash grain,cg,corn grain,cn,nResponse,3,130
cash grain,cg,soybeans,sb,nResponse,1,0
cash grain,cg,soybeans,sb,nResponse,2,0
cash grain,cg,soybeans,sb,nResponse,3,0
corn silage-soy-oats,cso,corn silage,cs,nResponse,1,165
corn silage-soy-oats,cso,corn silage,cs,nResponse,2,125
corn silage-soy-oats,cso,corn silage,cs,nResponse,3,200
corn silage-soy-oats,cso,soybeans,sb,nResponse,1,0
corn silage-soy-oats,cso,soybeans,sb,nResponse,2,0
corn silage-soy-oats,cso,soybeans,sb,nResponse,3,0
dairy rotation,dr,corn silage,cs,nResponse,1,45
dairy rotation,dr,corn silage,cs,nResponse,2,5
dairy rotation,dr,corn silage,cs,nResponse,3,80
dairy rotation,dr,corn grain,cn,nResponse,1,115
dairy rotation,dr,corn grain,cn,nResponse,2,75
dairy rotation,dr,corn grain,cn,nResponse,3,150
dairy rotation,dr,alfalfa,af,nResponse,1,0
dairy rotation,dr,alfalfa,af,nResponse,2,0
dairy rotation,dr,alfalfa,af,nResponse,3,0
dry lot-high,dl-hi,pasture_ dry lot_ high,dl_hi,nResponse,1,150
dry lot-high,dl-hi,pasture_ dry lot_ high,dl_hi,nResponse,2,150
dry lot-high,dl-hi,pasture_ dry lot_ high,dl_hi,nResponse,3,150
dry lot-low,dl-lo,pasture_ dry lot_ low,dl_lo,nResponse,1,150
dry lot-low,dl-lo,pasture_ dry lot_ low,dl_lo,nResponse,2,150
dry lot-low,dl-lo,pasture_ dry lot_ low,dl_lo,nResponse,3,150
continuous corn,cc,corn grain,cn,nResponse,1,165
continuous corn,cc,corn grain,cn,nResponse,2,125
continuous corn,cc,corn grain,cn,nResponse,3,200
cash grain,cg,corn grain,cn,nResponse,1,120
cash grain,cg,corn grain,cn,nResponse,2,100
cash grain,cg,corn grain,cn,nResponse,3,130
cash grain,cg,soybeans,sb,nResponse,1,0
cash grain,cg,soybeans,sb,nResponse,2,0
cash grain,cg,soybeans,sb,nResponse,3,0
corn silage-soy-oats,cso,corn silage,cs,nResponse,1,165
corn silage-soy-oats,cso,corn silage,cs,nResponse,2,125
corn silage-soy-oats,cso,corn silage,cs,nResponse,3,200
corn silage-soy-oats,cso,soybeans,sb,nResponse,1,0
corn silage-soy-oats,cso,soybeans,sb,nResponse,2,0
corn silage-soy-oats,cso,soybeans,sb,nResponse,3,0
dairy rotation,dr,corn silage,cs,nResponse,1,45
dairy rotation,dr,corn silage,cs,nResponse,2,5
dairy rotation,dr,corn silage,cs,nResponse,3,80
dairy rotation,dr,corn grain,cn,nResponse,1,115
dairy rotation,dr,corn grain,cn,nResponse,2,75
dairy rotation,dr,corn grain,cn,nResponse,3,150
dairy rotation,dr,alfalfa,af,nResponse,1,0
dairy rotation,dr,alfalfa,af,nResponse,2,0
dairy rotation,dr,alfalfa,af,nResponse,3,0
