RotationName,RotationAbbr,CropName,CropAbbr,coverAbbr,rasterLookup,rasterVals,Nrec,rotation,density,legume,rotYrs,NfixPct,Nharv_content,NH3loss,grazedManureN,cropYear,FertN,ManureN,manureOnly,crop,cover,Pneeds,grazed_DM_lbs,grazed_P2O5_lbs
cash grain,cg,corn grain,cn,cc,nResponse,1,120,NA,NA,NA,2,0,0.0155,5,0,1,120,120,No,Corn grain to soybeans,Small grain,60,0,0
cash grain,cg,corn grain,cn,cc,nResponse,2,100,NA,NA,NA,2,0,0.0155,5,0,1,100,100,No,Corn grain to soybeans,Small grain,60,0,0
cash grain,cg,corn grain,cn,cc,nResponse,3,130,NA,NA,NA,2,0,0.0155,5,0,1,130,130,No,Corn grain to soybeans,Small grain,60,0,0
cash grain,cg,corn grain,cn,gcds,nResponse,1,120,NA,NA,NA,2,0,0.0155,5,3,1,120,120,No,Corn grain to soybeans,Grazed cover,65,196.8,4.92
cash grain,cg,corn grain,cn,gcds,nResponse,2,100,NA,NA,NA,2,0,0.0155,5,3,1,100,100,No,Corn grain to soybeans,Grazed cover,65,196.8,4.92
cash grain,cg,corn grain,cn,gcds,nResponse,3,130,NA,NA,NA,2,0,0.0155,5,3,1,130,130,No,Corn grain to soybeans,Grazed cover,65,196.8,4.92
cash grain,cg,corn grain,cn,gcis,nResponse,1,120,NA,NA,NA,2,0,0.0155,5,3,1,120,120,No,Corn grain to soybeans,Grazed cover,65,196.8,4.92
cash grain,cg,corn grain,cn,gcis,nResponse,2,100,NA,NA,NA,2,0,0.0155,5,3,1,100,100,No,Corn grain to soybeans,Grazed cover,65,196.8,4.92
cash grain,cg,corn grain,cn,gcis,nResponse,3,130,NA,NA,NA,2,0,0.0155,5,3,1,130,130,No,Corn grain to soybeans,Grazed cover,65,196.8,4.92
cash grain,cg,corn grain,cn,nc,nResponse,1,120,NA,NA,NA,2,0,0.0155,5,0,1,120,120,No,Corn grain to soybeans,None,60,0,0
cash grain,cg,corn grain,cn,nc,nResponse,2,100,NA,NA,NA,2,0,0.0155,5,0,1,100,100,No,Corn grain to soybeans,None,60,0,0
cash grain,cg,corn grain,cn,nc,nResponse,3,130,NA,NA,NA,2,0,0.0155,5,0,1,130,130,No,Corn grain to soybeans,None,60,0,0
cash grain,cg,soybeans,sb,cc,nResponse,1,0,NA,NA,NA,2,50,0.065,5,0,2,0,155,Yes,Corn grain to soybeans,Small grain,40,0,0
cash grain,cg,soybeans,sb,cc,nResponse,2,0,NA,NA,NA,2,50,0.065,5,0,2,0,155,Yes,Corn grain to soybeans,Small grain,40,0,0
cash grain,cg,soybeans,sb,cc,nResponse,3,0,NA,NA,NA,2,50,0.065,5,0,2,0,155,Yes,Corn grain to soybeans,Small grain,40,0,0
