RotationName,RotationAbbr,CropName,CropAbbr,coverAbbr,sand_percent,om_percent,rotation,density,legume,rotYrs,cropYear,FertN,ManureN,manureOnly,crop,cover,NfixPct,Nharv_content,NH3loss,grazedManureN,Pneeds,grazed_DM_lbs,grazed_P2O5_lbs
cash grain,cg,corn grain,cn,gcds,>90,NA,NA,NA,NA,2,1,60,150,No,Corn grain to soybeans,Grazed cover,0,0.0155,5,3,65,196.8,4.92
cash grain,cg,corn grain,cn,gcds,<90,NA,NA,NA,NA,2,1,140,150,No,Corn grain to soybeans,Grazed cover,0,0.0155,5,3,65,196.8,4.92
cash grain,cg,corn grain,cn,gcis,>90,NA,NA,NA,NA,2,1,60,150,No,Corn grain to soybeans,Grazed cover,0,0.0155,5,3,65,196.8,4.92
cash grain,cg,corn grain,cn,gcis,<90,NA,NA,NA,NA,2,1,140,150,No,Corn grain to soybeans,Grazed cover,0,0.0155,5,3,65,196.8,4.92
cash grain,cg,corn grain,cn,nc,>90,NA,NA,NA,NA,2,1,60,150,No,Corn grain to soybeans,None,0,0.0155,5,0,60,0,0
cash grain,cg,corn grain,cn,nc,<90,NA,NA,NA,NA,2,1,140,150,No,Corn grain to soybeans,None,0,0.0155,5,0,60,0,0
cash grain,cg,corn grain,cn,cc,>90,NA,NA,NA,NA,2,1,60,150,No,Corn grain to soybeans,Small grain,0,0.0155,5,0,60,0,0
cash grain,cg,corn grain,cn,cc,<90,NA,NA,NA,NA,2,1,140,150,No,Corn grain to soybeans,Small grain,0,0.0155,5,0,60,0,0
cash grain,cg,soybeans,sb,gcds,NA,NA,NA,NA,NA,2,2,0,155,Yes,Corn grain to soybeans,Grazed cover,50,0.065,5,3,30,196.8,4.92
cash grain,cg,soybeans,sb,gcis,NA,NA,NA,NA,NA,2,2,0,155,Yes,Corn grain to soybeans,Grazed cover,50,0.065,5,3,30,196.8,4.92
cash grain,cg,soybeans,sb,nc,NA,NA,NA,NA,NA,2,2,0,155,Yes,Corn grain to soybeans,None,50,0.065,5,0,40,0,0
